"timestamp","article_id","error"
"2024-12-02 13:15:33","10_1889-07-25_p1_sn84023017_00414212992_1889072501_0484","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5511, Requested 1456. Please try again in 9.67s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:15:44","10_1889-07-25_p1_sn84023017_00414212992_1889072501_0484","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5899, Requested 1456. Please try again in 13.55s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:16:13","30_1889-12-29_p1_sn85042460_00280769290_1889122901_0534","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 4676, Requested 2172. Please try again in 8.479s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:16:23","30_1889-12-29_p1_sn85042460_00280769290_1889122901_0534","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5678, Requested 2172. Please try again in 18.495s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:16:39","26_1889-04-08_p1_sn85042354_00271740256_1889040801_1128","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 6014, Requested 887. Please try again in 9.017999999s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:16:59","10_1889-09-07_p6_sn99021999_00206539641_1889090701_0547","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 6131, Requested 917. Please try again in 10.481s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:17:28","43_1889-02-23_p5_sn85042460_00280769241_1889022301_0611","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5927, Requested 804. Please try again in 7.303999999s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:17:53","4_1889-08-21_p4_sn84027718_00271762690_1889082101_0384","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5251, Requested 1591. Please try again in 8.414s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:18:02","4_1889-08-21_p4_sn84027718_00271762690_1889082101_0384","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5279, Requested 1591. Please try again in 8.691s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:19:59","11_1922-06-04_p2_sn83045462_00280657128_1922060401_0711","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 6161, Requested 1209. Please try again in 13.703s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:20:13","11_1922-06-04_p2_sn83045462_00280657128_1922060401_0711","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 5611, Requested 1209. Please try again in 8.193s. Visit https://console.groq.com/docs/rate-limits for more information.
"
"2024-12-02 13:21:07","31_1922-01-23_p2_sn84020657_00279526909_1922012301_0152","Error in `req_perform()`:
! HTTP 429 Too Many Requests.
• Rate limit reached for model `llama-3.1-70b-versatile` in organization `org_01j69xejb5fzvvdbr9jsxen9dt` on tokens per minute (TPM): Limit 6000, Used 7706, Requested 817. Please try again in 25.237s. Visit https://console.groq.com/docs/rate-limits for more information.
"
